ipid;name;lange_bahntunnel;1_inbetr_jahr_bahntunnel;tunnelsystem;bemerkung;linie;km_go;kanton;geopos
1457809.0;Windgällentunnel;182.0;1882;1-Röhre / 2-Spuren;;600;47.763;Uri;46.77110507305789, 8.673232092093071
1457911.0;Bristentunnel;710.0;1882;1-Röhre / 2-Spuren;;600;48.847;Uri;46.76486607677117, 8.665552751845386
1441582.0;Märchlisbachgalerie Mitte;25.0;1882;1-Röhre / 2-Spuren;;600;54.061;Uri;46.7321512125839, 8.624885652663249
1459531.0;Muhrentunnel;53.0;1882;1-Röhre / 2-Spuren;;600;57.487;Uri;46.722513320051284, 8.61507519410073
1479106.0;Maienkreuztunnel;78.0;1882;1-Röhre / 2-Spuren;;600;65.503;Uri;46.70851450142293, 8.595366342850514
1479128.0;Obere Entschigtalgalerie;103.0;1882;1-Röhre / 2-Spuren;;600;66.117;Uri;46.70315137557725, 8.59443141078465
1268628.0;Galleria Pardorea;286.0;1882;1-Röhre / 2-Spuren;;600;102.23;Ticino;46.489177949173296, 8.768711243268795
124676.0;Galleria Costa;68.0;1874;1-Röhre / 2-Spuren;;600;160.008;Ticino;46.14660202746805, 8.958240630084143
1752946.0;Galeria Paradiso;758.0;1897;1-Röhre / 2-Spuren;;600;183.771;Ticino;45.9854168205355, 8.956534401728403
13472947.0;Galleria Coldrerio;92.0;1874;1-Röhre / 2-Spuren;;600;200.313;Ticino;45.857782541151856, 8.975989608647192
124656.0;Alte Gruonbachgalerie li. G100;100.0;1882;1-Röhre / 1-Spur;;605;30.173;Uri;46.91529813517892, 8.624374738053382
3511170.0;Aarauer Stadttunnel I Nord;578.0;1996;1-Röhre / 2-Spuren;;649;42.013;Aargau;47.389858710345464, 8.044929464180969
731330.0;Zimmerbergtunnel;1984.0;1897;1-Röhre / 1-Spur;;660;19.115;Zürich;47.245165785659474, 8.575978500530358
124711.0;Friedentaltunnel;120.0;1864;1-Röhre / 1-Spur;;660;63.454;Luzern;47.06116357252691, 8.288710989813547
1380375.0;Rossplattentunnel;48.0;1897;1-Röhre / 1-Spur;;665;10.049;Zug;47.094140462767974, 8.520897775211141
1380475.0;Kalkofentunnel;69.0;1897;1-Röhre / 1-Spur;;665;12.266;Schwyz;47.07567410796792, 8.529720867115511
1380515.0;Mühlefluhtunnel SZ;191.0;1897;1-Röhre / 1-Spur;;665;14.416;Schwyz;47.05979233125261, 8.544694812839797
1856669.0;Koblenztunnel;181.0;1854;1-Röhre / 1-Spur;;702;42.191;Aargau;47.6055798091279, 8.236817689173119
2568129.0;UQB-Altstettertunnel;291.0;2002;1-Röhre / 1-Spur;;714;3.511;Zürich;47.39009421533654, 8.497773440178152
1449395.0;Ulmbergtunnel;848.0;1927;1-Röhre / 2-Spuren;;720;3.307;Zürich;47.36913049688366, 8.527058608670217
2043196.0;Zimmerberg Basistunnel;9421.0;2003;Y / 2-Spur + 2x 1-Spur;Inkl: ZBT Einspur Berg (DfA 725) und ZBT Einspur See (DfA 723);722;2.471;Zürich;47.37440589826601, 8.518057242294045
1472455.0;Hitzbergtunnel;71.0;1967;1-Röhre / 1-Spur;;730;13.933;Zürich;47.30222992746364, 8.594467120143966
1502836.0;Lattenbergtunnel;93.0;1894;1-Röhre / 1-Spur;;730;25.999;Zürich;47.24131866018015, 8.715312349461259
1526966.0;Erlenrunstunnel;45.0;1879;1-Röhre / 1-Spur;;736;82.094;Glarus;46.93973903679736, 9.018578744948424
3320596.0;Tunnel Bahnhof Museumstrasse;772.0;1990;Andere;;745;99.86;Zürich;47.379373926202135, 8.539287501333686
10955783.0;Oerlikontunnel;124.0;2014;1-Röhre / 1-Spur;;748;206.237;Zürich;47.409507180308196, 8.538253793603237
1472408.0;Rötitunnel;153.0;1964;1-Röhre / 1-Spur;;762;52.949;Schaffhausen;47.67672096678956, 8.620371395301884
903779.0;Bommersteintunnel;454.0;1941;1-Röhre / 2-Spuren;;890;15.24;St.AuslandGallen;47.11440315074913, 9.291432811474277
903686.0;Bühltunnel SG;114.0;1859;1-Röhre / 2-Spuren;;890;20.843;St.AuslandGallen;47.11281271554627, 9.219927033295232
903863.0;Stutztunnel;133.0;1859;1-Röhre / 1-Spur;;890;23.758;Glarus;47.11576472603685, 9.182733642015366
2093157.0;Tunnel du Crêt (078);118.0;1904;1-Röhre / 1-Spur;;111;5.336;Vaud;46.48127599832797, 6.782171000033994
2093162.0;Tunnel du Carroz (079);83.0;1904;1-Röhre / 1-Spur;;111;5.782;Vaud;46.481466501656016, 6.776449113989163
15125239.0;TC Gradelle - Seymaz;435.0;2019;1-Röhre / 2-Spuren;;152;72.26;Genève;46.198057094464936, 6.1893624945119585
15125240.0;TC Seymaz - Halte de CHEB;271.0;2019;1-Röhre / 2-Spuren;;152;72.719;Genève;46.19636761329305, 6.193992489986392
3363331.0;Tunnel du Moulin Bornu (034);72.0;1870;1-Röhre / 2-Spuren;;200;23.359;Vaud;46.66330105471975, 6.513930891804045
4696795.0;Tunnel du Mormont sud 1;303.0;1856;1-Röhre / 1-Spur;;210;21.709;Vaud;46.659930834709286, 6.550710733814993
4569550.0;Tunnel du Mormont sud 3;328.0;2010;1-Röhre / 1-Spur;;210;21.738;Vaud;46.660493542972326, 6.552141276312995
2093173.0;Tunnel St-Aubin-Sauges (097);2253.0;1999;1-Röhre / 2-Spuren;;210;56.813;Neuchâtel;46.89335229572743, 6.769490606159166
770252.0;Tunnel de la Sauge (009);118.0;1859;1-Röhre / 1-Spur;;223;9.85;Neuchâtel;46.971447173094404, 6.8156745100902025
1277981.0;Tunnel de Pasquart (038);52.0;1874;1-Röhre / 2-Spuren;;225;34.716;Bern;47.138036050458126, 7.239017979105249
1277959.0;Tunnel de Taubenloch 3 ( 041 );220.0;1874;1-Röhre / 1-Spur;;225;39.316;Bern;47.17045259392602, 7.255198912980755
513255.0;Tunnel de Moutier 7 (054);54.0;1876;1-Röhre / 1-Spur;;226;74.786;Bern;47.292825272193944, 7.381044641029427
989497.0;Angensteintunnel;65.0;1875;1-Röhre / 1-Spur;;230;112.475;Basel-Landschaft;47.46345333640302, 7.604676012737701
3440681.0;Tunnel de Grandvaux (030);392.0;1862;1-Röhre / 2-Spuren;;250;8.858;Vaud;46.49852704977574, 6.729431163425825
595585.0;Tunnel de Vauderens (101);1980.0;2001;1-Röhre / 2-Spuren;;250;32.56;Fribourg;46.636518400794365, 6.865613606106282
2821673.0;Wolfachertunnel Süd;418.0;2004;1-Röhre / 1-Spur;;415;68.97;Bern;47.196349074922644, 7.686121303474734
504984.0;Borntunnel;798.0;1981;1-Röhre / 2-Spuren;;450;42.98;Solothurn;47.321305971444616, 7.89312932434279
